sourceTaxonName	sourceTaxonSpeciesName	sourceTaxonRank	sourceTaxonFamilyName	interactionTypeName	targetTaxonName	targetTaxonSpeciesName	targetTaxonRank	sourceCitation	sourceDOI	referenceDoi	referenceUrl	referenceCitation	sourceTaxonKingdomName	targetTaxonKingdomName
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Ramphastos sulfuratus	Ramphastos sulfuratus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/16350203	Viruses	
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Ramphastos swainsonii	Ramphastos swainsonii	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/5690806	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Ramphocelus passerinii	Ramphocelus passerinii	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/5690806	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Rattus norvegicus	Rattus norvegicus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/235211	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Rattus norvegicus	Rattus norvegicus	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Rattus rattus	Rattus rattus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/235211	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Rattus rattus	Rattus rattus	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Rattus rattus	Rattus rattus	species	Olival, K. J., Hosseini, P. R., Zambrana-Torrelio, C., Ross, N., Bogich, T. L., & Daszak, P. (2017). Host and viral traits predict zoonotic spillover from mammals. Nature, 546(7660), 646–650. doi:10.1038/nature22975	10.1038/nature22975			Sudia WD, and Newhouse VF (1975). Epidemic Venezuelan Equine Encephalitis In North-America - Summary Of Virus-Vector-Host Relationships. American journal of epidemiology 101:1-13.	Viruses	
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Reithrodontomys megalotis	Reithrodontomys megalotis	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/16350203	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Reithrodontomys megalotis	Reithrodontomys megalotis	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sapajus apella	Sapajus apella	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				Sabattini et al. 1965	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sapajus apella	Sapajus apella	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sciurus granatensis	Sciurus granatensis	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/5690806	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sciurus granatensis	Sciurus granatensis	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sciurus granatensis	Sciurus granatensis	species	Olival, K. J., Hosseini, P. R., Zambrana-Torrelio, C., Ross, N., Bogich, T. L., & Daszak, P. (2017). Host and viral traits predict zoonotic spillover from mammals. Nature, 546(7660), 646–650. doi:10.1038/nature22975	10.1038/nature22975			Grayson MA, and Galindo P (1968). Epidemiologic Studies Of Venezuelan Equine Encephalitis Virus In Almirante Panama. American journal of epidemiology 88:80-&.	Viruses	
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sciurus variegatoides	Sciurus variegatoides	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/5690806	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sciurus variegatoides	Sciurus variegatoides	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sciurus variegatoides	Sciurus variegatoides	species	Olival, K. J., Hosseini, P. R., Zambrana-Torrelio, C., Ross, N., Bogich, T. L., & Daszak, P. (2017). Host and viral traits predict zoonotic spillover from mammals. Nature, 546(7660), 646–650. doi:10.1038/nature22975	10.1038/nature22975			Grayson MA, and Galindo P (1968). Epidemiologic Studies Of Venezuelan Equine Encephalitis Virus In Almirante Panama. American journal of epidemiology 88:80-&.	Viruses	
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Setophaga coronata	Setophaga coronata		Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/16350203	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sigmodon hispidus	Sigmodon hispidus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/5690806	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sigmodon hispidus	Sigmodon hispidus	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sigmodon hispidus	Sigmodon hispidus	species	Olival, K. J., Hosseini, P. R., Zambrana-Torrelio, C., Ross, N., Bogich, T. L., & Daszak, P. (2017). Host and viral traits predict zoonotic spillover from mammals. Nature, 546(7660), 646–650. doi:10.1038/nature22975	10.1038/nature22975			NA	Viruses	
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sigmodon hispidus	Sigmodon hispidus	species	Mihara, T., Nishimura, Y., Shimizu, Y., Nishiyama, H., Yoshikawa, G., Uehara, H., Hingamp, P., Goto, S., and Ogata, H.; Linking virus genomes with host taxonomy. Viruses 8, 66 doi:10.3390/v8030066 (2016).				Mihara, T., Nishimura, Y., Shimizu, Y., Nishiyama, H., Yoshikawa, G., Uehara, H., Hingamp, P., Goto, S., and Ogata, H.; Linking virus genomes with host taxonomy. Viruses 8, 66 doi:10.3390/v8030066 (2016). Accessed at <ftp://ftp.genome.jp/pub/db/virushostdb/virushostdb.daily.tsv> on 17 Nov 2021.	Orthornavirae	Metazoa
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sphiggurus mexicanus	Sphiggurus mexicanus	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				Cupp et al. 1986	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sphiggurus mexicanus	Sphiggurus mexicanus	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sturnira lilium	Sturnira lilium	species	Willoughby AR, Phelps KL, Olival KJ, Predict Consortium. A comparative analysis of viral richness and viral sharing in cave-roosting bats. Diversity. 2017 Sep;9(3):35.		10.7589/0090-3558-31.1.1		Ubico, S.R.; Mclean R.G. Serologic survey of neotropical bats in Guatemala for virus antibodies. J. Wildl. Dis. 1995, 31, 1-9.	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sturnira lilium	Sturnira lilium	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/7563415	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sturnira lilium	Sturnira lilium	species	Chen L, Liu B, Yang J, Jin Q, 2014. DBatVir: the database of bat-associated viruses. Database (Oxford). 2014:bau021. doi:10.1093/database/bau021				Lelli D, Prosperi A, Moreno A, Chiapponi C, Gibellini AM, De Benedictis P, Leopardi S, Sozzi E, Lavazza A, Isolation of a novel Rhabdovirus from an insectivorous bat (Pipistrellus kuhlii) in Italy. Virol J 2018, 15(1):37.	Orthornavirae	Metazoa
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sturnira lilium	Sturnira lilium	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sturnira lilium	Sturnira lilium	species	Olival, K. J., Hosseini, P. R., Zambrana-Torrelio, C., Ross, N., Bogich, T. L., & Daszak, P. (2017). Host and viral traits predict zoonotic spillover from mammals. Nature, 546(7660), 646–650. doi:10.1038/nature22975	10.1038/nature22975			Ubico SR, and Mclean RG (1995). Serologic Survey of Neotropical bats in Guatemala for virus antibodies.  31:1-9.	Viruses	
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sturnira lilium	Sturnira lilium	species	Siyu Zhou, Bo Liu, Yelin Han, Yuyang Wang, Lihong Chen, Zhiqiang Wu, Jian Yang, ZOVER: the database of zoonotic and vector-borne viruses, Nucleic Acids Research, 2021;, gkab862, https://doi.org/10.1093/nar/gkab862	10.1093/nar/gkab862				Orthornavirae	Metazoa
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sturnira ludovici	Sturnira ludovici	species	Willoughby AR, Phelps KL, Olival KJ, Predict Consortium. A comparative analysis of viral richness and viral sharing in cave-roosting bats. Diversity. 2017 Sep;9(3):35.		10.7589/0090-3558-31.1.1		Ubico, S.R.; Mclean R.G. Serologic survey of neotropical bats in Guatemala for virus antibodies. J. Wildl. Dis. 1995, 31, 1-9.	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sturnira ludovici	Sturnira ludovici	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/7563415	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sturnira ludovici	Sturnira ludovici	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sturnira ludovici	Sturnira ludovici	species	Olival, K. J., Hosseini, P. R., Zambrana-Torrelio, C., Ross, N., Bogich, T. L., & Daszak, P. (2017). Host and viral traits predict zoonotic spillover from mammals. Nature, 546(7660), 646–650. doi:10.1038/nature22975	10.1038/nature22975			Ubico SR, and Mclean RG (1995). Serologic Survey of Neotropical bats in Guatemala for virus antibodies.  31:1-9.	Viruses	
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sus scrofa scrofa	Sus scrofa	subspecies	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/4691483	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Sus scrofa	Sus scrofa	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/238050	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Rory Gibb, Colin J. Carlson, & Maxwell J Farrell. (2021, January 12). viralemergence/clover: Preprint + Zenodo (Version v0.1.1). Zenodo. http://doi.org/10.5281/zenodo.4435128		10.5281/zenodo.4435128		Wardeh et al. 2015 Sci Data	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/19871564	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/16349765	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/4181548	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/4389109	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/4398707	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/16558020	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/5575570	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/5463575	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/4344368	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/4401069	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/4144277	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/4155263	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/1176627	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/376353	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/879571	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/7148228	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/6825417	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/7149112	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/4025695	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/6299188	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/2863990	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/1891877	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/1404262	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/1474264	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/8073740	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	hasHost	Sus scrofa	Sus scrofa	species	Sarah E Miller. 4/18/2016. Species associations from Wardeh, M. et al. Database of host-pathogen and related species interactions, and their global distribution. Sci. Data 2:150049 doi: 10.1038/sdata.2015.49 (2015)	10.5281/zenodo.258189			http://www.ncbi.nlm.nih.gov/pubmed/8189423	Viruses	Animalia
