"","id","source","target","interaction","citation","doi","reference","referenceDOI","referenceURL"
"968","Syritta pipiensLythrum salicaria","Syritta pipiens","Lythrum salicaria","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"969","Syritta pipiensMatricaria chamomilla","Syritta pipiens","Matricaria chamomilla","visitsFlowersOf","Pocock, Michael J. O.; Evans, Darren M.; Memmott, Jane (2012), Data from: The robustness and restoration of a network of ecological networks, Dryad, Dataset, https://doi.org/10.5061/dryad.3s36r118","None","doi:10.5061/dryad.3s36r118","10.5061/dryad.3s36r118","None"
"970","Syritta pipiensMatricaria discoidea","Syritta pipiens","Matricaria discoidea","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"971","Syritta pipiensMelilotus albus","Syritta pipiens","Melilotus albus","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"972","Syritta pipiensMelilotus altissimus","Syritta pipiens","Melilotus altissimus","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"973","Syritta pipiensMentha aquatica","Syritta pipiens","Mentha aquatica","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"974","Syritta pipiensMentha arvensis","Syritta pipiens","Mentha arvensis","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"975","Syritta pipiensMentha longifolia","Syritta pipiens","Mentha longifolia","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Tig. 2019. Syritta pipiens nectar plant Mentha longifolia. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/29719371> on 17 Nov 2021.","None","None"
"976","Syritta pipiensMentha spicata","Syritta pipiens","Mentha spicata","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","ellen hildebrandt. 2019. Syritta pipiens nectar plant Mentha spicata. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/28705841> on 17 Nov 2021.","None","None"
"977","Syritta pipiensMentha suaveolens","Syritta pipiens","Mentha suaveolens","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"978","Syritta pipiensMercurialis perennis","Syritta pipiens","Mercurialis perennis","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"979","Syritta pipiensMyosotis arvensis","Syritta pipiens","Myosotis arvensis","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"980","Syritta pipiensMyosotis scorpioides","Syritta pipiens","Myosotis scorpioides","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"981","Syritta pipiensNepeta cataria","Syritta pipiens","Nepeta cataria","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Anne Boyd. 2020. Syritta pipiens interaction->visited flower of Nepeta cataria. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/51590148> on 17 Nov 2021.","None","None"
"982","Syritta pipiensOdontites vernus","Syritta pipiens","Odontites vernus","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"983","Syritta pipiensOenanthe crocata","Syritta pipiens","Oenanthe crocata","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"984","Syritta pipiensOenothera biennis","Syritta pipiens","Oenothera biennis","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Chris Kreussling (Flatbush Gardener). 2021. Syritta pipiens interaction->visited flower of Oenothera biennis. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/96742062> on 17 Nov 2021.","None","None"
"985","Syritta pipiensOriganum vulgare","Syritta pipiens","Origanum vulgare","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2021. Syritta pipiens nectar / pollen delivering plant Origanum vulgare. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/85821727> on 17 Nov 2021.","None","None"
"986","Syritta pipiensOxalis dillenii","Syritta pipiens","Oxalis dillenii","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Chris Kreussling (Flatbush Gardener). 2021. Syritta pipiens interaction->visited flower of Oxalis dillenii. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/88211770> on 17 Nov 2021.","None","None"
"987","Syritta pipiensPastinaca sativa","Syritta pipiens","Pastinaca sativa","visitsFlowersOf","Sarah E Miller. 5/30/2016. Interations from various papers.","10.5281/zenodo.258199","Fründ, J., Linsenmair, K.E. and Blüthgen, N., 2010. Pollinator diversity and specialization in relation to flower diversity. Oikos, 119(10), pp.1581-1590.","None","None"
"988","Syritta pipiensPersicaria capitata","Syritta pipiens","Persicaria capitata","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","sea-kangaroo. 2020. Syritta pipiens nectar / pollen delivering plant Persicaria capitata. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/61127338> on 17 Nov 2021.","None","None"
"989","Syritta pipiensPersicaria maculosa","Syritta pipiens","Persicaria maculosa","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"990","Syritta pipiensPetroselinum crispum","Syritta pipiens","Petroselinum crispum","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Alexis Babayan. 2020. Syritta pipiens nectar / pollen delivering plant Petroselinum crispum. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/58482498> on 17 Nov 2021.","None","None"
"991","Syritta pipiensPimpinella saxifraga","Syritta pipiens","Pimpinella saxifraga","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"992","Syritta pipiensPlantago lanceolata","Syritta pipiens","Plantago lanceolata","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"993","Syritta pipiensPolygonum aviculare","Syritta pipiens","Polygonum aviculare","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Joe Bartok. 2019. Syritta pipiens nectar plant Polygonum aviculare. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/34448144> on 17 Nov 2021.","None","None"
"994","Syritta pipiensPotentilla reptans","Syritta pipiens","Potentilla reptans","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"995","Syritta pipiensPrunus laurocerasus","Syritta pipiens","Prunus laurocerasus","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2017. Syritta pipiens nectar plant Prunus laurocerasus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/67793494> on 17 Nov 2021.","None","None"
"996","Syritta pipiensPrunus padus","Syritta pipiens","Prunus padus","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"997","Syritta pipiensPrunus serotina","Syritta pipiens","Prunus serotina","visitsFlowersOf","National Database Plant Pollinators. Center for Plant Conservation at San Diego Zoo Global. Accessed via https://saveplants.org/national-collection/pollinator-search/ on 2020-06-05.","None","Clements, F.E. & Long, F.L. (1923). Experimental Pollination An Outline Of The Ecology Of Flower And Insects. Carnegie Institute of Washington, Washington, D.C.","None","None"
"998","Syritta pipiensPulicaria dysenterica","Syritta pipiens","Pulicaria dysenterica","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"999","Syritta pipiensRanunculus acris","Syritta pipiens","Ranunculus acris","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1000","Syritta pipiensRanunculus aquatilis","Syritta pipiens","Ranunculus aquatilis","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1001","Syritta pipiensRanunculus bulbosus","Syritta pipiens","Ranunculus bulbosus","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1002","Syritta pipiensRanunculus flammula","Syritta pipiens","Ranunculus flammula","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1003","Syritta pipiensRanunculus lingua","Syritta pipiens","Ranunculus lingua","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1004","Syritta pipiensRanunculus repens","Syritta pipiens","Ranunculus repens","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1005","Syritta pipiensRaphanus sativus","Syritta pipiens","Raphanus sativus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Alexis Babayan. 2020. Syritta pipiens nectar / pollen delivering plant Raphanus sativus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/50027831> on 17 Nov 2021.","None","None"
"1006","Syritta pipiensReseda alba","Syritta pipiens","Reseda alba","pollinates","Web of Life. http://www.web-of-life.es .","None","Petanidou, T. (1991). Pollination ecology in a phryganic ecosystem. Unp. PhD. Thesis, Aristotelian University, Thessaloniki.","None","None"
"1007","Syritta pipiensRhododendron ponticum","Syritta pipiens","Rhododendron ponticum","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1008","Syritta pipiensRosa arvensis","Syritta pipiens","Rosa arvensis","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1009","Syritta pipiensRosa canina","Syritta pipiens","Rosa canina","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1010","Syritta pipiensRosa rubiginosa","Syritta pipiens","Rosa rubiginosa","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1011","Syritta pipiensRosa rugosa","Syritta pipiens","Rosa rugosa","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1012","Syritta pipiensRosa spinosissima","Syritta pipiens","Rosa spinosissima","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1013","Syritta pipiensRubus plicatus","Syritta pipiens","Rubus plicatus","pollinates","Web of Life. http://www.web-of-life.es .","None","Memmott J. 1999. The structure of a plant-pollinator food web. Ecology Letters 2:276-280.","None","None"
"1014","Syritta pipiensRumex obtusifolius","Syritta pipiens","Rumex obtusifolius","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1015","Syritta pipiensRumex sanguineus","Syritta pipiens","Rumex sanguineus","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1016","Syritta pipiensSalix aurita","Syritta pipiens","Salix aurita","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1017","Syritta pipiensSalix caprea","Syritta pipiens","Salix caprea","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1018","Syritta pipiensSalix cinerea","Syritta pipiens","Salix cinerea","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1019","Syritta pipiensSalix fragilis","Syritta pipiens","Salix fragilis","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1020","Syritta pipiensSalix pentandra","Syritta pipiens","Salix pentandra","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1021","Syritta pipiensSalix repens","Syritta pipiens","Salix repens","pollinates","Web of Life. http://www.web-of-life.es .","None","Dupont & Olesen(2009). J. Animal Ecology, 78:346-353.","None","None"
"1022","Syritta pipiensSalix viminalis","Syritta pipiens","Salix viminalis","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1023","Syritta pipiensSalvia rosmarinus","Syritta pipiens","Salvia rosmarinus","eats","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Jonathan Curley. 2020. Syritta pipiens nectar / pollen delivering plant Salvia rosmarinus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/40994152> on 17 Nov 2021.","None","None"
"1024","Syritta pipiensSambucus nigra","Syritta pipiens","Sambucus nigra","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1025","Syritta pipiensScorzoneroides autumnalis","Syritta pipiens","Scorzoneroides autumnalis","visitsFlowersOf","Sarah E Miller. 5/30/2016. Interations from various papers.","10.5281/zenodo.258199","Fründ, J., Linsenmair, K.E. and Blüthgen, N., 2010. Pollinator diversity and specialization in relation to flower diversity. Oikos, 119(10), pp.1581-1590.","None","None"
"1026","Syritta pipiensSedum acre","Syritta pipiens","Sedum acre","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1027","Syritta pipiensSenecio jacobaea","Syritta pipiens","Senecio jacobaea","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1028","Syritta pipiensSenecio squalidus","Syritta pipiens","Senecio squalidus","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
"1029","Syritta pipiensSenecio vulgaris","Syritta pipiens","Senecio vulgaris","visitsFlowersOf","Redhead, J.W.; Coombes, C.F.; Dean, H.J.; Dyer, R.; Oliver, T.H.; Pocock, M.J.O.; Rorke, S.L.; Vanbergen, A.J.; Woodcock, B.A.; Pywell, R.F. (2018). Plant-pollinator interactions database for construction of potential networks. NERC Environmental Information Data Centre. https://doi.org/10.5285/6d8d5cb5-bd54-4da7-903a-15bd4bbd531b","None","interactions.csv","None","None"
