"target_taxon","source_taxon_name","interaction_type","db","query","genus","family","order","class","phylum","kingdom"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Alydus calcaratus","eatenBy","ncbi","Alydus calcaratus","Alydus","Alydidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Tachinidae","eatenBy","ncbi","Tachinidae",NA,"Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Hymenoptera","eatenBy","ncbi","Hymenoptera",NA,NA,"Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Tipula pagana","eatenBy","ncbi","Tipula pagana","Tipula","Tipulidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eupeodes corollae","preyedUponBy","ncbi","Eupeodes corollae","Eupeodes","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis tenax","eatenBy","ncbi","Eristalis tenax","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga carnaria","eatenBy","ncbi","Sarcophaga carnaria","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Meliscaeva auricollis","eatenBy","ncbi","Meliscaeva auricollis","Meliscaeva","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eupeodes luniger","preyedUponBy","ncbi","Eupeodes luniger","Eupeodes","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Araneidae","eatenBy","ncbi","Araneidae",NA,"Araneidae","Araneae","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphoridae","eatenBy","ncbi","Calliphoridae",NA,"Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphora vicina","eatenBy","ncbi","Calliphora vicina","Calliphora","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Cercopidae","eatenBy","ncbi","Cercopidae",NA,"Cercopidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula germanica","eatenBy","ncbi","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula germanica","eatenBy","ncbi","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga variegata","eatenBy","ncbi","Sarcophaga variegata","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphoridae","eatenBy","ncbi","Calliphoridae",NA,"Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphora vomitoria","eatenBy","ncbi","Calliphora vomitoria","Calliphora","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Musca domestica","preyedUponBy","ncbi","Musca domestica","Musca","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphora vicina","eatenBy","ncbi","Calliphora vicina","Calliphora","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Coleoptera","eatenBy","ncbi","Coleoptera",NA,NA,"Coleoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis","eatenBy","ncbi","Eristalis","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga variegata","eatenBy","ncbi","Sarcophaga variegata","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga variegata","eatenBy","ncbi","Sarcophaga variegata","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Syrphus vitripennis","preyedUponBy","ncbi","Syrphus vitripennis","Syrphus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Pollenia pediculata","eatenBy","ncbi","Pollenia pediculata","Pollenia","Polleniidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Epistrophe nitidicollis","preyedUponBy","ncbi","Epistrophe nitidicollis","Epistrophe","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Temnostoma vespiforme","preyedUponBy","ncbi","Temnostoma vespiforme","Temnostoma","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lucilia ampullacea","eatenBy","ncbi","Lucilia ampullacea","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula germanica","eatenBy","ncbi","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Hymenoptera","eatenBy","ncbi","Hymenoptera",NA,NA,"Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Araneidae","eatenBy","ncbi","Araneidae",NA,"Araneidae","Araneae","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Calliphoridae","eatenBy","ncbi","Calliphoridae",NA,"Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Episyrphus balteatus","eatenBy","ncbi","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Mantis religiosa","eatenBy","ncbi","Mantis religiosa","Mantis","Mantidae","Mantodea","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Halictidae","eatenBy","ncbi","Halictidae",NA,"Halictidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis arbustorum","eatenBy","ncbi","Eristalis arbustorum","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Orthoptera","eatenBy","ncbi","Orthoptera",NA,NA,"Orthoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Orthoptera","eatenBy","ncbi","Orthoptera",NA,NA,"Orthoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Episyrphus balteatus","preyedUponBy","ncbi","Episyrphus balteatus","Episyrphus","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Crabronidae","eatenBy","ncbi","Crabronidae",NA,"Crabronidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Lucilia caesar","eatenBy","ncbi","Lucilia caesar","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula germanica","eatenBy","ncbi","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Metellina segmentata","eatenBy","ncbi","Metellina segmentata","Metellina","Tetragnathidae","Araneae","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Panorpa germanica","eatenBy","ncbi","Panorpa germanica","Panorpa","Panorpidae","Mecoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Coenonympha pamphilus","eatenBy","ncbi","Coenonympha pamphilus","Coenonympha","Nymphalidae","Lepidoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis tenax","eatenBy","ncbi","Eristalis tenax","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis pertinax","eatenBy","ncbi","Eristalis pertinax","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Graphomya maculata","eatenBy","ncbi","Graphomya maculata","Graphomya","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Calliphoridae","eatenBy","ncbi","Calliphoridae",NA,"Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula","eatenBy","ncbi","Vespula","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Pollenia rudis","eatenBy","ncbi","Pollenia rudis","Pollenia","Polleniidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Lucilia sericata","preyedUponBy","ncbi","Lucilia sericata","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lucilia caesar","preyedUponBy","ncbi","Lucilia caesar","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga subvicina","eatenBy","ncbi","Sarcophaga subvicina","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga variegata","eatenBy","ncbi","Sarcophaga variegata","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Araneidae","eatenBy","ncbi","Araneidae",NA,"Araneidae","Araneae","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga carnaria","preyedUponBy","ncbi","Sarcophaga carnaria","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lucilia","eatenBy","ncbi","Lucilia","Lucilia","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Pipizella viduata","preyedUponBy","ncbi","Pipizella viduata","Pipizella","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vertebrata","eatenBy","ncbi","Vertebrata",NA,NA,NA,NA,"Chordata","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis","eatenBy","ncbi","Eristalis","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Muscina pascuorum","eatenBy","ncbi","Muscina pascuorum","Muscina","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula germanica","eatenBy","ncbi","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polietes lardarius","eatenBy","ncbi","Polietes lardarius","Polietes","Muscidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Coleoptera","eatenBy","ncbi","Coleoptera",NA,NA,"Coleoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Sarcophaga variegata","eatenBy","ncbi","Sarcophaga variegata","Sarcophaga","Sarcophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula vulgaris","eatenBy","ncbi","Vespula vulgaris","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Diptera","eatenBy","ncbi","Diptera",NA,NA,"Diptera","Insecta","Arthropoda","Metazoa"
