"","scientificName2","speciesKey","scientificName","rank","taxonomicStatus","kingdom","includes","ALIEN"
"1767","Cirsium heterophyllum",3113745,"Cirsium heterophyllum (L.) Hill","SPECIES","ACCEPTED","Plantae","3113745: Cirsium heterophyllum (L.) Hill",FALSE
"1768","Cirsium oleraceum",3113650,"Cirsium oleraceum (L.) Scop.","SPECIES","ACCEPTED","Plantae","3113650: Cirsium oleraceum (L.) Scop.",FALSE
"1769","Cirsium palustre",3113239,"Cirsium palustre (L.) Scop.","SPECIES","ACCEPTED","Plantae","3113239: Cirsium palustre (L.) Scop.",FALSE
"1770","Cirsium pannonicum",3113390,"Cirsium pannonicum (L.fil.) Link","SPECIES","ACCEPTED","Plantae","3113390: Cirsium pannonicum (L.fil.) Link",FALSE
"1771","Cirsium rivulare",3113637,"Cirsium rivulare (Jacq.) All.","SPECIES","ACCEPTED","Plantae","3113637: Cirsium rivulare (Jacq.) All.",FALSE
"1772","Cirsium tuberosum",3112651,"Cirsium tuberosum (L.) All.","SPECIES","ACCEPTED","Plantae","3112651: Cirsium tuberosum (L.) All.",FALSE
"1773","Cirsium vulgare",3112801,"Cirsium vulgare (Savi) Ten.","SPECIES","ACCEPTED","Plantae","3112801: Cirsium vulgare (Savi) Ten.",FALSE
"1774","Cirsium waldsteinii",3113612,"Cirsium waldsteinii Rouy","SPECIES","ACCEPTED","Plantae","3113612: Cirsium waldsteinii Rouy",FALSE
"1775","Cistella grevillei",5257537,"Cistella grevillei (Berk.) Raitv.","SPECIES","ACCEPTED","Fungi","5257537: Cistella grevillei (Berk.) Raitv.",FALSE
"1776","Cistus ×incanus",2874028,"Cistus ×incanus L.","SPECIES","ACCEPTED","Plantae","2874028: Cistus ×incanus L.",FALSE
"1777","Citellophilus simplex",1417371,"Citellophilus simplex (Wagner, 1902)","SPECIES","ACCEPTED","Animalia","1417371: Citellophilus simplex (Wagner, 1902) | 7198679: Citellophilus simplex simplex",FALSE
"1778","Citrullus lanatus",2874621,"Citrullus lanatus (Thunb.) Matsum. & Nakai","SPECIES","ACCEPTED","Plantae","2874621: Citrullus lanatus (Thunb.) Matsum. & Nakai",TRUE
"1779","Citrus ×microcarpa",3831218,"Citrus ×microcarpa Bunge","SPECIES","ACCEPTED","Plantae","3831218: Citrus ×microcarpa Bunge",FALSE
"1780","Cladium mariscus",2731327,"Cladium mariscus (L.) Pohl","SPECIES","ACCEPTED","Plantae","2731327: Cladium mariscus (L.) Pohl",TRUE
"1781","Cladonia chlorophaea",2607697,"Cladonia chlorophaea (Flörke ex Sommerf.) Spreng.","SPECIES","ACCEPTED","Fungi","2607697: Cladonia chlorophaea (Flörke ex Sommerf.) Spreng.",FALSE
"1782","Cladonia coniocraea",2607534,"Cladonia coniocraea (Flörke) Spreng.","SPECIES","ACCEPTED","Fungi","2607534: Cladonia coniocraea (Flörke) Spreng.",FALSE
"1783","Cladonia digitata",2607722,"Cladonia digitata (L.) Hoffm.","SPECIES","ACCEPTED","Fungi","2607722: Cladonia digitata (L.) Hoffm.",FALSE
"1784","Cladonia fimbriata",2607701,"Cladonia fimbriata (L.) Fr.","SPECIES","ACCEPTED","Fungi","2607701: Cladonia fimbriata (L.) Fr.",FALSE
"1785","Cladonia foliacea",2607590,"Cladonia foliacea (Huds.) Willd.","SPECIES","ACCEPTED","Fungi","2607590: Cladonia foliacea (Huds.) Willd.",FALSE
"1786","Cladonia furcata",7246646,"Cladonia furcata","SPECIES","ACCEPTED","Fungi","7246646: Cladonia furcata",FALSE
"1787","Cladonia gracilis",2607596,"Cladonia gracilis (L.) Willd.","SPECIES","ACCEPTED","Fungi","2607596: Cladonia gracilis (L.) Willd.",FALSE
"1788","Cladonia macilenta",7246716,"Cladonia macilenta Hoffm.","SPECIES","ACCEPTED","Fungi","7246716: Cladonia macilenta Hoffm.",FALSE
"1789","Cladonia ochrochlora",7800386,"Cladonia ochrochlora Flörke","SPECIES","ACCEPTED","Fungi","7800386: Cladonia ochrochlora Flörke",FALSE
"1790","Cladonia pertricosa",2607662,"Cladonia pertricosa Kremp.","SPECIES","ACCEPTED","Fungi","2607662: Cladonia pertricosa Kremp.",FALSE
"1791","Cladonia pleurota",2607718,"Cladonia pleurota (Flörke) Schaer.","SPECIES","ACCEPTED","Fungi","2607718: Cladonia pleurota (Flörke) Schaer.",FALSE
"1792","Cladonia portentosa",3390030,"Cladonia portentosa (Dufour) Coem.","SPECIES","ACCEPTED","Fungi","7646818: Cladonia sylvatica (L.) Hoffm.",FALSE
"1793","Cladonia rangiferina",2607708,"Cladonia rangiferina (L.) Weber ex F.H.Wigg.","SPECIES","ACCEPTED","Fungi","2607708: Cladonia rangiferina (L.) Weber ex F.H.Wigg. | 8597577: Cladonia rangiferina (L.) Weber",FALSE
"1794","Cladonia subulata",2607703,"Cladonia subulata (L.) Weber ex F.H.Wigg.","SPECIES","ACCEPTED","Fungi","3389993: Cladonia cornutoradiata f. radiata (Willd.) Sandst.",FALSE
"1795","Cladonia symphycarpa",3391014,"Cladonia symphycarpa (Ach.) Fr.","SPECIES","ACCEPTED","Fungi","3391014: Cladonia symphycarpa (Ach.) Fr.",FALSE
"1796","Cladophora fracta",5272519,"Cladophora fracta (O.F.Müller ex Vahl) Kützing","SPECIES","ACCEPTED","Plantae","5272519: Cladophora fracta (O.F.Müller ex Vahl) Kützing",FALSE
"1797","Cladophora glomerata",5272770,"Cladophora glomerata (L.) Kütz.","SPECIES","ACCEPTED","Plantae","5272770: Cladophora glomerata (L.) Kütz. | 7652997: Cladophora crispata (Roth) Kützing",FALSE
"1798","Cladophora lehmanniana",5272598,"Cladophora lehmanniana (Lindenb.) Kütz.","SPECIES","ACCEPTED","Plantae","5272599: Cladophora utriculosa Kütz.",FALSE
"1799","Clamator glandarius",2496464,"Clamator glandarius (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2496464: Clamator glandarius (Linnaeus, 1758)",FALSE
"1800","Clangula hyemalis",2498273,"Clangula hyemalis (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2498273: Clangula hyemalis (Linnaeus, 1758)",FALSE
"1801","Clanoptilus marginellus",4449276,"Clanoptilus marginellus (Olivier, 1790)","SPECIES","ACCEPTED","Animalia","4449276: Clanoptilus marginellus (Olivier, 1790)",FALSE
"1802","Clarkus papillatus",8507885,"Clarkus papillatus (Bastian, 1865) Jairajpuri, 1970","SPECIES","ACCEPTED","Animalia","8507885: Clarkus papillatus (Bastian, 1865) Jairajpuri, 1970",FALSE
"1803","Clathrus archeri",5239483,"Clathrus archeri (Berk.) Dring","SPECIES","ACCEPTED","Fungi","5239483: Clathrus archeri (Berk.) Dring",FALSE
"1804","Clathrus ruber",5239476,"Clathrus ruber P.Micheli ex Pers.","SPECIES","ACCEPTED","Fungi","5239476: Clathrus ruber P.Micheli ex Pers.",FALSE
"1805","Clausilia dubia",4569645,"Clausilia dubia Draparnaud, 1805","SPECIES","ACCEPTED","Animalia","4569645: Clausilia dubia Draparnaud, 1805 | 6098949: Clausilia dubia dubia",FALSE
"1806","Clausilia pumila",4571076,"Clausilia pumila (C.Pfeiffer, 1828)","SPECIES","ACCEPTED","Animalia","4571076: Clausilia pumila (C.Pfeiffer, 1828) | 10932287: Clausilia pumila C.Pfeiffer, 1828",FALSE
"1807","Clausocalanus brevipes",2114933,"Clausocalanus brevipes Frost & Fleminger, 1968","SPECIES","ACCEPTED","Animalia","2114933: Clausocalanus brevipes Frost & Fleminger, 1968",FALSE
"1808","Clavariadelphus pistillaris",2521391,"Clavariadelphus pistillaris (L.) Donk","SPECIES","ACCEPTED","Fungi","2521391: Clavariadelphus pistillaris (L.) Donk",FALSE
"1809","Claviceps nigricans",5251475,"Claviceps nigricans Tul.","SPECIES","ACCEPTED","Fungi","5251475: Claviceps nigricans Tul.",FALSE
"1810","Claviceps purpurea",9378152,"Claviceps purpurea (Fr.) Tul.","SPECIES","ACCEPTED","Fungi","5251470: Claviceps microcephala (Wallr.) Tul. | 9378152: Claviceps purpurea (Fr.) Tul.",FALSE
"1811","Clematis ×jackmanii",3033584,"Clematis ×jackmanii T.Moore","SPECIES","ACCEPTED","Plantae","3033584: Clematis ×jackmanii T.Moore",FALSE
"1812","Clematis alpina",3033599,"Clematis alpina (L.) Mill.","SPECIES","ACCEPTED","Plantae","3033599: Clematis alpina (L.) Mill.",FALSE
"1813","Clematis integrifolia",6374790,"Clematis integrifolia L.","SPECIES","ACCEPTED","Plantae","6374790: Clematis integrifolia L.",FALSE
"1814","Clematis paniculata",7433570,"Clematis paniculata J.F.Gmel.","SPECIES","ACCEPTED","Plantae","7433570: Clematis paniculata J.F.Gmel.",FALSE
"1815","Clematis recta",3033543,"Clematis recta L.","SPECIES","ACCEPTED","Plantae","3033543: Clematis recta L.",FALSE
"1816","Clematis vitalba",3033558,"Clematis vitalba L.","SPECIES","ACCEPTED","Plantae","3033558: Clematis vitalba L.",FALSE
"1817","Cleome spinosa",8354001,"Cleome spinosa Rojas Acosta","SPECIES","ACCEPTED","Plantae","8354001: Cleome spinosa Rojas Acosta",FALSE
"1818","Cleonis pigra",4465183,"Cleonis pigra (J.A.Scopoli, 1763)","SPECIES","ACCEPTED","Animalia","4465183: Cleonis pigra (J.A.Scopoli, 1763)",FALSE
"1819","Clepsis pallidana",1737368,"Clepsis pallidana (Fabricius, 1776)","SPECIES","ACCEPTED","Animalia","1737368: Clepsis pallidana (Fabricius, 1776)",FALSE
"1820","Clerus mutillarius",8115081,"Clerus mutillarius Fabricius, 1775","SPECIES","ACCEPTED","Animalia","8115081: Clerus mutillarius Fabricius, 1775",FALSE
"1821","Climacocystis borealis",2542720,"Climacocystis borealis (Fr.) Kotl. & Pouzar","SPECIES","ACCEPTED","Fungi","5245236: Polyporus borealis Fr.",FALSE
"1822","Clinopodes flavidus",2233137,"Clinopodes flavidus Koch, 1847","SPECIES","ACCEPTED","Animalia","2233137: Clinopodes flavidus Koch, 1847 | 10754786: BOLD:AEB2853 | 10869130: BOLD:AEB3212",FALSE
"1823","Clinopodes intermedius",2233133,"Clinopodes intermedius Darabantu & Matic, 1969","SPECIES","ACCEPTED","Animalia","2233133: Clinopodes intermedius Darabantu & Matic, 1969",FALSE
"1824","Clinopodium acinos",2927118,"Clinopodium acinos (L.) Kuntze","SPECIES","ACCEPTED","Plantae","2927116: Acinos arvensis (Lam.) Dandy | 2927118: Clinopodium acinos (L.) Kuntze | 8059776: Calamintha acinos (L.) Clairv.",FALSE
"1825","Clinopodium alpinum",7307319,"Clinopodium alpinum (L.) Kuntze","SPECIES","ACCEPTED","Plantae","7307319: Clinopodium alpinum (L.) Kuntze | 7486785: Melissa baumgartenii Simonk. | 7841346: Calamintha hungarica Simonk. | 8037559: Calamintha hungarica var. cuneata Simonk.",FALSE
"1826","Clinopodium menthifolium",3883897,"Clinopodium menthifolium (Host) Stace","SPECIES","ACCEPTED","Plantae","5341293: Calamintha sylvatica Bromf.",FALSE
"1827","Clinopodium nepeta",8916040,"Clinopodium nepeta (L.) Kuntze","SPECIES","ACCEPTED","Plantae","3882869: Satureja brauneana (Hoppe ex Rchb.) Jáv.",FALSE
"1828","Clinopodium pulegium",3885935,"Clinopodium pulegium (Rochel) Bräuchler","SPECIES","ACCEPTED","Plantae","5606143: Micromeria pulegium (Rochel) Benth. | 5610829: Melissa pulegium Rochel",FALSE
"1829","Clinopodium vulgare",2926945,"Clinopodium vulgare L.","SPECIES","ACCEPTED","Plantae","2926945: Clinopodium vulgare L.",FALSE
"1830","Clitocella mundula",7537501,"Clitocella mundula (Lasch) Kluting, T.J.Baroni & Bergemann","SPECIES","ACCEPTED","Fungi","2540056: Clitopilopsis mundula (Lasch) Kühner ex Konrad & Maubl.",FALSE
"1831","Clitocybe odora",2531124,"Clitocybe odora (Bull.) P.Kumm.","SPECIES","ACCEPTED","Fungi","2531124: Clitocybe odora (Bull.) P.Kumm.",FALSE
"1832","Clitopilus scyphoides",3345645,"Clitopilus scyphoides (Fr.) Singer","SPECIES","ACCEPTED","Fungi","7187232: Clitopilus scyphoides var. scyphoides",FALSE
"1833","Clogmia albipunctata",1640760,"Clogmia albipunctata Williston","SPECIES","ACCEPTED","Animalia","1640760: Clogmia albipunctata Williston",FALSE
"1834","Clostera anachoreta",1822830,"Clostera anachoreta (Denis & Schiffermüller, 1775)","SPECIES","ACCEPTED","Animalia","1822830: Clostera anachoreta (Denis & Schiffermüller, 1775)",FALSE
"1835","Clostera anastomosis",1822787,"Clostera anastomosis (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1822787: Clostera anastomosis (Linnaeus, 1758)",FALSE
"1836","Clostera curtula",1822796,"Clostera curtula (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1822796: Clostera curtula (Linnaeus, 1758)",FALSE
"1837","Clostera pigra",1822819,"Clostera pigra (Hufnagel, 1766)","SPECIES","ACCEPTED","Animalia","1822819: Clostera pigra (Hufnagel, 1766)",FALSE
"1838","Closterotomus biclavatus",4487573,"Closterotomus biclavatus (Herrich-Schaeffer, 1835)","SPECIES","ACCEPTED","Animalia","4487573: Closterotomus biclavatus (Herrich-Schaeffer, 1835)",FALSE
"1839","Closterotomus fulvomaculatus",4487578,"Closterotomus fulvomaculatus (De Geer, 1773)","SPECIES","ACCEPTED","Animalia","4487578: Closterotomus fulvomaculatus (De Geer, 1773)",FALSE
"1840","Clostridioides difficile_A",9290075,"Clostridioides difficile_A","SPECIES","ACCEPTED","Bacteria","9290075: Clostridioides difficile_A",FALSE
"1841","Clubiona caerulescens",2144030,"Clubiona caerulescens L.Koch, 1867","SPECIES","ACCEPTED","Animalia","2144030: Clubiona caerulescens L.Koch, 1867",FALSE
"1842","Clubiona comta",2144290,"Clubiona comta C.L.Koch, 1839","SPECIES","ACCEPTED","Animalia","2144290: Clubiona comta C.L.Koch, 1839",FALSE
"1843","Clupeonella cultriventris",5214533,"Clupeonella cultriventris (Nordmann, 1840)","SPECIES","ACCEPTED","Animalia","5214533: Clupeonella cultriventris (Nordmann, 1840) | 5214535: Clupeonella delicatula (Nordmann, 1840)",FALSE
"1844","Clytia noliformis",5185992,"Clytia noliformis (McCrady, 1859)","SPECIES","ACCEPTED","Animalia","7522225: Campanularia noliformis McCrady, 1859",FALSE
"1845","Clytra laeviuscula",4462027,"Clytra laeviuscula Ratzeburg, 1837","SPECIES","ACCEPTED","Animalia","4462027: Clytra laeviuscula Ratzeburg, 1837",FALSE
"1846","Clytra quadripunctata",4462028,"Clytra quadripunctata (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","4462028: Clytra quadripunctata (Linnaeus, 1758)",FALSE
"1847","Clytus lama",6265041,"Clytus lama Mulsant, 1850","SPECIES","ACCEPTED","Animalia","6265041: Clytus lama Mulsant, 1850",FALSE
"1848","Cnaemidophorus rhododactyla",1858637,"Cnaemidophorus rhododactyla (Denis & Schiffermüller, 1775)","SPECIES","ACCEPTED","Animalia","1858637: Cnaemidophorus rhododactyla (Denis & Schiffermüller, 1775)",FALSE
"1849","Cnephasia communana",1739077,"Cnephasia communana (Herrich-Schäffer, 1851)","SPECIES","ACCEPTED","Animalia","9882131: BOLD:AAI4103",FALSE
"1850","Cobitis elongata",2368253,"Cobitis elongata Heckel & Kner, 1858","SPECIES","ACCEPTED","Animalia","2368253: Cobitis elongata Heckel & Kner, 1858",FALSE
"1851","Cobitis taenia",2368185,"Cobitis taenia Linnaeus, 1758","SPECIES","ACCEPTED","Animalia","2368185: Cobitis taenia Linnaeus, 1758 | 6167612: Cobitis taenia taenia",FALSE
"1852","Coccinella magnifica",5877906,"Coccinella magnifica Redtenbacher, 1843","SPECIES","ACCEPTED","Animalia","5877906: Coccinella magnifica Redtenbacher, 1843",FALSE
"1853","Coccinella septempunctata",4990191,"Coccinella septempunctata Linnaeus, 1758","SPECIES","ACCEPTED","Animalia","4990191: Coccinella septempunctata Linnaeus, 1758",FALSE
"1854","Coccinula quatuordecimpustulata",4452146,"Coccinula quatuordecimpustulata (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","4452146: Coccinula quatuordecimpustulata (Linnaeus, 1758)",FALSE
"1855","Coccothraustes coccothraustes",2494329,"Coccothraustes coccothraustes (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2494329: Coccothraustes coccothraustes (Linnaeus, 1758) | 7191718: Coccothraustes coccothraustes coccothraustes",FALSE
"1856","Cochlicopa lubrica",2295977,"Cochlicopa lubrica (O.F.Müller, 1774)","SPECIES","ACCEPTED","Animalia","2295977: Cochlicopa lubrica (O.F.Müller, 1774)",FALSE
"1857","Cochlodina cerata",4568790,"Cochlodina cerata (Rossmässler, 1836)","SPECIES","ACCEPTED","Animalia","4568790: Cochlodina cerata (Rossmässler, 1836)",FALSE
"1858","Cochlodina laminata",4568872,"Cochlodina laminata (Montagu, 1803)","SPECIES","ACCEPTED","Animalia","4568872: Cochlodina laminata (Montagu, 1803)",FALSE
"1859","Cochlodina marisi",4568781,"Cochlodina marisi (A.Schmidt, 1868)","SPECIES","ACCEPTED","Animalia","4568781: Cochlodina marisi (A.Schmidt, 1868)",FALSE
"1860","Cochlodina orthostoma",4568784,"Cochlodina orthostoma (Menke, 1828)","SPECIES","ACCEPTED","Animalia","4568784: Cochlodina orthostoma (Menke, 1828) | 4568785: Cochlodina orthostoma filiformis (E.A.Bielz, 1861)",FALSE
"1861","Coelioxys aurolimbata",1338640,"Coelioxys aurolimbata Förster, 1853","SPECIES","ACCEPTED","Animalia","1338640: Coelioxys aurolimbata Förster, 1853",FALSE
"1862","Coelioxys brevis",1338797,"Coelioxys brevis Eversmann, 1852","SPECIES","ACCEPTED","Animalia","1338797: Coelioxys brevis Eversmann, 1852",FALSE
"1863","Coelioxys confusa",1338835,"Coelioxys confusa Smith, 1875","SPECIES","ACCEPTED","Animalia","1338835: Coelioxys confusa Smith, 1875",FALSE
"1864","Coelioxys inermis",1338677,"Coelioxys inermis (Kirby, 1802)","SPECIES","ACCEPTED","Animalia","1338677: Coelioxys inermis (Kirby, 1802)",FALSE
"1865","Coenagrion lunulatum",1422025,"Coenagrion lunulatum Charpentier, 1840","SPECIES","ACCEPTED","Animalia","1422025: Coenagrion lunulatum Charpentier, 1840",FALSE
"1866","Coenagrion ornatum",1422002,"Coenagrion ornatum Selys, 1850","SPECIES","ACCEPTED","Animalia","1422002: Coenagrion ornatum Selys, 1850",FALSE
"1867","Coenagrion puella",1421964,"Coenagrion puella Linnaeus, 1758","SPECIES","ACCEPTED","Animalia","1421964: Coenagrion puella Linnaeus, 1758",FALSE
"1868","Coenagrion pulchellum",1421980,"Coenagrion pulchellum Vander Linden, 1825","SPECIES","ACCEPTED","Animalia","1421980: Coenagrion pulchellum Vander Linden, 1825",FALSE
"1869","Coenagrion scitulum",1422010,"Coenagrion scitulum Rambur, 1842","SPECIES","ACCEPTED","Animalia","1422010: Coenagrion scitulum Rambur, 1842",FALSE
"1870","Coenonympha arcania",7728366,"Coenonympha arcania (Linnaeus, 1761)","SPECIES","ACCEPTED","Animalia","7728366: Coenonympha arcania (Linnaeus, 1761)",FALSE
"1871","Coenonympha glycerion",1911125,"Coenonympha glycerion (Borkhausen, 1788)","SPECIES","ACCEPTED","Animalia","1911125: Coenonympha glycerion (Borkhausen, 1788) | 9486760: Coenonympha glycerion bertolis (Prunner, 1798) | 10213960: BOLD:AAA9402",FALSE
"1872","Coenonympha leander",1911298,"Coenonympha leander (Esper, 1784)","SPECIES","ACCEPTED","Animalia","1911298: Coenonympha leander (Esper, 1784)",FALSE
"1873","Coenonympha pamphilus",1911461,"Coenonympha pamphilus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1911461: Coenonympha pamphilus (Linnaeus, 1758) | 9830539: BOLD:AAA7351",FALSE
"1874","Coenonympha rhodopensis",1911107,"Coenonympha rhodopensis Elwes, 1900","SPECIES","ACCEPTED","Animalia","1911107: Coenonympha rhodopensis Elwes, 1900",FALSE
"1875","Coenonympha tullia",1911112,"Coenonympha tullia (Müller, 1764)","SPECIES","ACCEPTED","Animalia","1911112: Coenonympha tullia (Müller, 1764)",FALSE
"1876","Colchicum autumnale",2739622,"Colchicum autumnale L.","SPECIES","ACCEPTED","Plantae","2739622: Colchicum autumnale L.",FALSE
"1877","Colchicum soboliferum",2739852,"Colchicum soboliferum (C.A.Mey.) Stef.","SPECIES","ACCEPTED","Plantae","2739852: Colchicum soboliferum (C.A.Mey.) Stef.",FALSE
"1878","Coleophora caucasica",5120524,"Coleophora caucasica Stainton, 1867","SPECIES","ACCEPTED","Animalia","10109921: BOLD:ABZ6687",FALSE
"1879","Coleophora deauratella",5121613,"Coleophora deauratella Lienig & Zeller, 1846","SPECIES","ACCEPTED","Animalia","5121613: Coleophora deauratella Lienig & Zeller, 1846",FALSE
"1880","Coleophora flavipennella",5121339,"Coleophora flavipennella (Duponchel, 1843)","SPECIES","ACCEPTED","Animalia","10420536: BOLD:AAC3993",FALSE
"1881","Coleophora kuehnella",6097245,"Coleophora kuehnella (Goeze, 1783)","SPECIES","ACCEPTED","Animalia","10535060: BOLD:AAC6417",FALSE
"1882","Coleophora lixella",5121244,"Coleophora lixella Zeller, 1849","SPECIES","ACCEPTED","Animalia","5121244: Coleophora lixella Zeller, 1849 | 9925826: BOLD:AAB2196",FALSE
"1883","Coleosporium campanulae",2513896,"Coleosporium campanulae (Pers.) Lév.","SPECIES","ACCEPTED","Fungi","2513896: Coleosporium campanulae (Pers.) Lév.",FALSE
"1884","Coleosporium euphrasiae",2513894,"Coleosporium euphrasiae (Schumach.) G.Winter","SPECIES","ACCEPTED","Fungi","2513898: Coleosporium rhinanthacearum (DC.) Lév.",FALSE
"1885","Coleosporium inulae",3372967,"Coleosporium inulae Rabenh.","SPECIES","ACCEPTED","Fungi","3372967: Coleosporium inulae Rabenh.",FALSE
"1886","Coleosporium pulsatillae",8176686,"Coleosporium pulsatillae (F.Strauss) Lév.","SPECIES","ACCEPTED","Fungi","7834857: Coleosporium pulsatillae (F.Strauss) Fuck.",FALSE
"1887","Coleosporium senecionis",2513860,"Coleosporium senecionis (Pers.) Fr.","SPECIES","ACCEPTED","Fungi","2513860: Coleosporium senecionis (Pers.) Fr.",FALSE
"1888","Coleosporium sonchi",2513862,"Coleosporium sonchi (F.Strauss) Lév.","SPECIES","ACCEPTED","Fungi","2513862: Coleosporium sonchi (F.Strauss) Lév.",FALSE
"1889","Coleosporium telekiae",2513841,"Coleosporium telekiae Thüm.","SPECIES","ACCEPTED","Fungi","2513841: Coleosporium telekiae Thüm.",FALSE
"1890","Coleroa chaetomium",2617666,"Coleroa chaetomium (Kunze) Rabenh.","SPECIES","ACCEPTED","Fungi","2617666: Coleroa chaetomium (Kunze) Rabenh.",FALSE
"1891","Coleus amboinicus",5341313,"Coleus amboinicus Lour.","SPECIES","ACCEPTED","Plantae","5341313: Coleus amboinicus Lour.",FALSE
"1892","Colias alfacariensis",8203812,"Colias alfacariensis Ribbe, 1905","SPECIES","ACCEPTED","Animalia","5803735: Colias sareptensis (Staudinger, 1871) | 8203812: Colias alfacariensis Ribbe, 1905 | 10616417: BOLD:ABZ4715",FALSE
"1893","Colias chrysotheme",5137677,"Colias chrysotheme (Esper, 1781)","SPECIES","ACCEPTED","Animalia","5137677: Colias chrysotheme (Esper, 1781) | 10067930: BOLD:ABY7217",FALSE
"1894","Colias croceus",5137612,"Colias croceus (Fourcroy, 1785)","SPECIES","ACCEPTED","Animalia","5137612: Colias croceus (Fourcroy, 1785)",FALSE
"1895","Colias croceus",7550095,"Colias croceus (Geoffroy, 1785)","SPECIES","DOUBTFUL","Animalia","11112033: Colias croceus f. helice",FALSE
"1896","Colias erate",5137578,"Colias erate (Esper, 1805)","SPECIES","ACCEPTED","Animalia","5137578: Colias erate (Esper, 1805)",FALSE
"1897","Colias hyale",5137706,"Colias hyale (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","5137706: Colias hyale (Linnaeus, 1758) | 10277708: BOLD:AAA5531",FALSE
"1898","Colias myrmidone",5137708,"Colias myrmidone (Esper, 1781)","SPECIES","ACCEPTED","Animalia","5137708: Colias myrmidone (Esper, 1781)",FALSE
"1899","Collema cristatum",10677972,"Collema cristatum Linnaeus, 1753","SPECIES","ACCEPTED","Fungi","7250518: Collema melaenum (Ach.) Ach.",FALSE
"1900","Colletes daviesanus",1348620,"Colletes daviesanus Smith, 1846","SPECIES","ACCEPTED","Animalia","1348620: Colletes daviesanus Smith, 1846",FALSE
"1901","Colletes mlokossewiczi",1348558,"Colletes mlokossewiczi Radoszkowski, 1891","SPECIES","ACCEPTED","Animalia","1348558: Colletes mlokossewiczi Radoszkowski, 1891",FALSE
"1902","Colletes nasutus",1348940,"Colletes nasutus Smith, 1853","SPECIES","ACCEPTED","Animalia","1348940: Colletes nasutus Smith, 1853",FALSE
"1903","Colletes punctatus",1348901,"Colletes punctatus Mocsáry, 1877","SPECIES","ACCEPTED","Animalia","1348901: Colletes punctatus Mocsáry, 1877",FALSE
"1904","Colletes similis",1348950,"Colletes similis Schenck, 1853","SPECIES","ACCEPTED","Animalia","1348950: Colletes similis Schenck, 1853",FALSE
"1905","Colletotrichum gloeosporioides",2569005,"Colletotrichum gloeosporioides (Penz.) Penz. & Sacc.","SPECIES","ACCEPTED","Fungi","5253592: Glomerella cingulata (Stoneman) Spauld. & H.Schrenk",FALSE
"1906","Colletotrichum mathiolae",3458307,"Colletotrichum mathiolae Sandu","SPECIES","ACCEPTED","Fungi","3458307: Colletotrichum mathiolae Sandu",FALSE
"1907","Colobochyla salicalis",1764531,"Colobochyla salicalis (Denis & Schiffermüller, 1775)","SPECIES","ACCEPTED","Animalia","1764531: Colobochyla salicalis (Denis & Schiffermüller, 1775)",FALSE
"1908","Colobopterus erraticus",4994000,"Colobopterus erraticus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","4994000: Colobopterus erraticus (Linnaeus, 1758)",FALSE
"1909","Colocasia coryli",5114198,"Colocasia coryli (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","5114198: Colocasia coryli (Linnaeus, 1758)",FALSE
"1910","Coloeus monedula",6100954,"Coloeus monedula (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2482473: Corvus monedula Linnaeus, 1758 | 5844953: Corvus monedula spermologus Vieillot, 1817 | 6092438: Corvus monedula soemmerringii J.G.Fischer, 1811 | 6100954: Coloeus monedula (Linnaeus, 1758) | 9111568: Coloeus monedula spermologus (Vieillot, 1817) | 9186577: Coloeus monedula soemmerringii (Fischer von Waldheim, 1811)",FALSE
"1911","Cololejeunea calcarea",7608669,"Cololejeunea calcarea (Lib.) Steph.","SPECIES","ACCEPTED","Plantae","7608669: Cololejeunea calcarea (Lib.) Steph.",FALSE
"1912","Colostygia pectinataria",1988593,"Colostygia pectinataria (Knoch, 1781)","SPECIES","ACCEPTED","Animalia","1988593: Colostygia pectinataria (Knoch, 1781)",FALSE
"1913","Colotois pennaria",1968867,"Colotois pennaria (Linnaeus, 1761)","SPECIES","ACCEPTED","Animalia","1968867: Colotois pennaria (Linnaeus, 1761)",FALSE
"1914","Columba livia",2495414,"Columba livia J.F.Gmelin, 1789","SPECIES","ACCEPTED","Animalia","2495414: Columba livia J.F.Gmelin, 1789 | 7191490: Columba livia livia | 9310871: Columba livia f. domestica | 10729360: Columba livia var. domestica J.F.Gmelin, 1789",FALSE
"1915","Columba oenas",2495471,"Columba oenas Linnaeus, 1758","SPECIES","ACCEPTED","Animalia","2495471: Columba oenas Linnaeus, 1758 | 7191492: Columba oenas oenas",FALSE
"1916","Columba palumbus",2495455,"Columba palumbus Linnaeus, 1758","SPECIES","ACCEPTED","Animalia","2495455: Columba palumbus Linnaeus, 1758 | 9040795: Columba palumbus palumbus",FALSE
